Paper Number,Title,Authors,Venue,Year,Summary,Main Findings,Methodology,Outcome Measured,Limitations,Supporting Quotes for Summary,Supporting Tables for Summary,Reasoning for Summary,Supporting Quotes for Main Findings,Reasoning for Main Findings,Supporting Quotes for Methodology,Supporting Tables for Methodology,Reasoning for Methodology,Supporting Quotes for Outcome Measured,Reasoning for Outcome Measured,Supporting Quotes for Limitations,Reasoning for Limitations
1,Lithium-Ion Batteries State of Charge Prediction of Electric Vehicles Using RNNs-CNNs Neural Networks,"Fen Zhao, Yinguo Li, Xinheng Wang, Ling Bai, Tailin Liu",IEEE Access,2020,"The paper proposes a deep learning-based SOC prediction method using RNNs for data representation and CNNs for feature extraction, significantly improving accuracy.","RNNs-based vector representation improves battery data, Multi-channel CNN extracts hidden battery features, Extensive simulation confirms superior accuracy, RNN-CNN hybrid outperforms standalone methods.","Step 1: RNNs refine battery data, Step 2: CNNs extract features and predict SOC, Training: 80% data used, error minimized to <0.02.","SOC prediction accuracy, Computational efficiency, Feature extraction quality.","Higher computational requirements, Long training time, Dependency on vector quality, Real-time implementation challenges.",A deep learning-based SOC prediction model is proposed to ensure reliable vector representation and sufficient feature extraction.,Comparison Table: RNNs-CNNs model improves 4.3% over RNNs and 11.3% over Ah counting.,"The table highlights superior accuracy, supporting why the proposed model is effective.","To improve battery data representation, LIBs data is fully represented by establishing the RNNs-based data representation model.",These findings indicate the hybrid model effectively addresses SOC estimation shortcomings.,CNNs-based method removes noise and extracts relevant information between multivariate variables for accurate SOC prediction.,"Comparison Table: Vector space (TV-Vec, TVC-Vec) achieves lower MAE than raw data (TV, TVC).","Vector space improves accuracy, but increases computational complexity.","Our scheme improves prediction performance of 4.3% and 11.3% compared with recurrent neural networks and Ah counting method, respectively.",These outcomes confirm the effectiveness of the hybrid model in balancing accuracy and computation.,The additional current data increases computational burden and affects logical reasoning of the DNNs model.,"These limitations highlight practical implementation challenges, particularly in real-time applications."
2,State-of-Charge Prediction of Battery Management System Based on Principal Component Analysis and Improved Support Vector Machine for Regression,"Liang Xuan, Lijun Qian, Jian Chen, Xianxu Bai, Bing Wu",IEEE Access,2020,The paper presents a novel SOC prediction method for battery management systems (BMS) using Principal Component Analysis (PCA) and an improved Support Vector Machine for Regression (SVR). The proposed model optimizes training data classification and feature selection to enhance prediction accuracy while reducing computational cost.,"1. PCA analysis shows battery voltage, current, and temperature contribute significantly to SOC prediction. 2. The improved SVR method enhances prediction accuracy and computational efficiency. 3. Compared to traditional SVR, the optimized model reduces MSE and computational time.",1. PCA is applied to extract relevant battery features. 2. The dataset is classified into braking energy recovery and normal driving. 3. SVR training is optimized using grid search and cross-validation for hyperparameter tuning.,"1. SOC prediction accuracy measured via Mean Squared Error (MSE). 2. Computational efficiency evaluated through training time comparisons. 3. Effectiveness verified across multiple driving conditions (NEDC, UDDS, NYCC, WVUCITY).",1. The model requires prior data classification for optimal performance. 2. The accuracy is dependent on PCA feature selection. 3. Computational complexity is still higher than some heuristic-based methods.,We apply PCA to analyze the contribution of various external factors and propose a new SOC prediction method based on an improved support vector machine for regression (SVR) with data classification and training set size optimization.,Table 1: Original SVR prediction MSE - shows errors for different input combinations.,The selected quotes and tables highlight the improvements in SOC prediction accuracy achieved through PCA and optimized SVR.,"A multi-channel extended CNNs-based model, which is fed with the well-trained battery vector representation, is proposed to extract the unknown feature information hidden in battery vector.","These findings support the claim that selecting the correct battery features (voltage, current, temperature) significantly improves SOC estimation.",The training process of the SVR algorithm is to find the hyperplane that minimizes the cumulative distance of all training samples from the hyperplane.,The training process of the SVR algorithm is to find the hyperplane that minimizes the cumulative distance of all training samples from the hyperplane.,"The PCA-SVR combination ensures that only the most relevant battery features are used, improving efficiency and prediction accuracy.",The improved SVR algorithm reduces the MSE by 4.496 times compared to the original SVR method.,"Lower MSE values indicate a significant increase in accuracy, proving the effectiveness of feature selection and SVR optimization.",The models prediction ability is highly dependent on the effectiveness of the PCA feature extraction and the classification accuracy.,"Feature selection biases can impact generalization to real-world datasets, making robustness testing crucial."
3,Dynamic K-Decay Learning Rate Optimization for Deep Convolutional Neural Network to Estimate the State of Charge for Electric Vehicle Batteries,"Neha Bhushan, Saad Mekhilef, Kok Soon Tey, Mohamed Shaaban, Mehdi Seyedmahmoudian, Alex Stojcevski",Energies,2024,The paper introduces a CNN-based SOC estimation method enhanced by a dynamic k-decay learning rate optimization technique to improve training efficiency and accuracy.,1. CNN-based SOC estimation improves accuracy. 2. The k-decay learning rate method significantly reduces training time. 3. The model performs well across multiple drive cycles and temperatures.,1. A CNN with Conv1D layers and batch normalization is used. 2. The k-decay learning rate optimization dynamically adjusts the learning rate based on validation loss. 3. The method is tested across different drive cycles and temperatures.,"1. SOC prediction accuracy (MAE, RMSE). 2. Computational efficiency (training time). 3. Robustness across different driving conditions.",1. Model performance depends on the effectiveness of learning rate optimization. 2. Limited dataset variability might impact real-world performance. 3. Sensitivity to extreme temperature conditions.,"This paper introduces a novel convolutional neural network (CNN) architecture tailored for state of charge (SoC) estimation in battery management systems (BMS), accompanied by an advanced optimization technique to enhance training efficiency.",Table 2: The DST test error at different temperatures and comparison of architectures.,The selected quote and table highlight how the k-decay learning rate improves SOC estimation accuracy while reducing training time.,The improved SVR algorithm reduces the MSE by 4.496 times compared to the original SVR method,These findings confirm that k-decay optimization contributes to better model performance.,The training process of the SVR algorithm is to find the hyperplane that minimizes the cumulative distance of all training samples from the hyperplane.,Table 4: Comparison of architecture and computational cost.,The methodology ensures that CNN-based SOC estimation achieves high accuracy with optimized computational resources.,The improved SVR algorithm reduces the MSE by 4.496 times compared to the original SVR method.,Lower MSE values indicate improved accuracy due to feature selection and learning rate optimization.,The model’s prediction ability is highly dependent on the effectiveness of the k-decay learning rate optimization.,"Feature selection biases could impact generalization to real-world datasets, requiring additional robustness testing."
4,Lithium Battery State-of-Charge Estimation Based on AdaBoost.Rt-RNN,"Ran Li, Hui Sun, Xue Wei, Weiwen Ta, Haiying Wang",Energies,2022,The paper introduces an ensemble learning method using AdaBoost.Rt combined with Recurrent Neural Networks (RNN) to improve lithium battery SOC estimation accuracy.,1. AdaBoost.Rt improves the generalization ability of SOC estimation. 2. The RNN-based model effectively captures temporal dependencies. 3. The ensemble learning approach achieves lower error rates than traditional methods.,1. RNN is used as a base learner. 2. AdaBoost.Rt is applied to integrate multiple weak RNN models. 3. Training weights are dynamically updated based on prediction errors.,"1. SOC prediction accuracy (MAE, RMSE). 2. Performance comparison with other models (BP, XGBoost, UKF). 3. Generalization performance across multiple test conditions.",1. Performance is sensitive to hyperparameter tuning. 2. Higher computational cost compared to single RNN models. 3. Needs validation across different temperature ranges.,"The ensemble learning method was adopted to construct a multi-RNN model integration method, with the RNN model as the base learner, thus constructing the AdaBoost.Rt-RNN strong learner model.","Table 2: Comparison of MAE and RMSE for different models (BP, RNN, XGBoost, UKF, AdaBoost.Rt-RNN).","The table shows that AdaBoost.Rt-RNN achieves the lowest MAE and RMSE values, proving its effectiveness in SOC estimation.","Compared with the single RNN model, the SOC estimation value of the AdaBoost.Rt-RNN model is more consistent with the true value.",These findings confirm that the AdaBoost.Rt-RNN method improves prediction accuracy by reducing estimation errors.,"The AdaBoost.Rt algorithm improves the accuracy of any given learning algorithm, and each individual predictor has dependencies.","Table 4: Implementation of AdaBoost.Rt in training phase, showing weight adjustments.",The methodology ensures that AdaBoost.Rt optimally combines multiple weak learners for improved SOC estimation.,The RMSE values of the AdaBoost.Rt-RNN model under different SOCs are all smaller than that of the single RNN model.,Lower RMSE values indicate superior accuracy and generalization performance across test conditions.,The model’s prediction ability is highly dependent on the effectiveness of hyperparameter selection and computational feasibility.,Improper parameter tuning or excessive computational cost may limit real-time deployment feasibility.
5,Battery State-of-Charge Estimation Prototype Using EMF Voltage Prediction,"Christoph Unterrieder, Michael Lunglmayr, Stefano Marsili, Mario Huemer",IEEE Conference,2014,"The paper presents a predictive methodology for SOC estimation using EMF voltage prediction, reformulating a nonlinear relaxation voltage model into a linear least squares estimation problem.",1. The proposed model improves SOC prediction by forecasting EMF voltage during non-relaxed states. 2. The approach offers a better alternative to traditional OCV-based methods. 3. The estimation method is validated using experimental results on lithium-ion batteries.,1. A nonlinear battery relaxation voltage model is reformulated into a linear least squares (LS) estimation problem. 2. A sequential LS estimation strategy is used to iteratively update EMF predictions. 3. The method is tested on a CY8CKIT-050 PSOC5 programmable system.,1. Prediction accuracy of SOC (compared to traditional OCV-based estimation). 2. Performance across different temperatures and battery aging conditions. 3. Effectiveness in improving Coulomb counting re-initialization.,1. Performance depends on proper parameter tuning. 2. Model effectiveness is influenced by temperature and cell aging. 3. Requires validation across diverse battery chemistries.,A predictive methodology is presented which is able to forecast the EMF and therewith the SoC already during a not well-relaxed state of the voltage transient.,Table 1: Comparison of SOC estimation errors between traditional OCV and proposed EMF prediction.,"The quote and table highlight how the predictive method enables more accurate SOC estimation, even before the voltage reaches a relaxed state.","It is shown that the presented approach offers an improved re-initialization methodology for the Coulomb counting method, and that it clearly outperforms the usual EMF-measurement based SoC determination method.",These findings confirm that forecasting EMF leads to improved SOC prediction and battery management efficiency.,"The estimation process is based on a sequential LS estimation procedure, which iteratively updates the EMF prediction.",Table 3: Experimental results showing reduced SOC estimation error using LS-based EMF prediction.,The methodology ensures that the estimation process remains computationally feasible while improving prediction accuracy.,"For the considered case, the predicted EMF curve is within the specified accuracy of ±2 mV after Tpred = 8 min, whereas the measured OCV curve reaches the same accuracy only after 80 min.",This demonstrates how the predictive approach allows for significantly faster and more accurate SOC estimation.,The model’s prediction ability is highly dependent on the effectiveness of parameter selection and battery characteristics.,"Variations in temperature and battery aging can impact prediction accuracy, requiring further refinement for general applicability."
6,A Comprehensive Model for Battery State of Charge Prediction,"Bart Homan, Gerard J.M. Smit, Richard P. van Leeuwen, Marnix V. ten Kortenaar",University of Twente & Saxion University,2023,"The paper presents an improved predictive SOC model that accounts for the rate capacity effect and capacity recovery effect, ensuring better accuracy across multiple battery types.",1. The enhanced model accounts for real-world battery effects like rate capacity and recovery effects. 2. The model closely follows SOC measurements from real battery tests. 3. The proposed method improves upon existing models like KiBaM by incorporating voltage-based SOC estimation.,"1. The model is based on energy conservation principles. 2. It integrates empirical data to improve SOC prediction. 3. Validation is performed on Pb-acid, Li-ion, and Seasalt batteries.",1. SOC prediction accuracy across different battery chemistries. 2. Comparison with the KiBaM model for verification. 3. Effects of rate capacity and recovery on SOC estimation.,1. Performance varies with different battery chemistries. 2. Requires empirical tuning for accurate predictions. 3. Battery degradation over time affects model accuracy.,Predictions on the SoC over time done using the proposed model closely follow the SoC over time calculated from measured data.,"Table 1: Characteristics of different battery types (Pb-acid, Li-ion, Seasalt) used for verification.","The quote and table demonstrate that the model is verified against real-world battery tests, ensuring reliability.",The model is expanded with two linear relations (equations 8 and 11) with which the influence of these two effects on the battery SoC can be predicted.,These findings confirm that the proposed model addresses key issues in SOC estimation by integrating real-world effects.,A simple but effective model was originally developed for thermal storage but can be applied for electric storage as well.,Table 3: Experimental results comparing measured and predicted SOC across multiple discharging conditions.,"The methodology ensures that SOC is accurately predicted using voltage-based estimation, improving upon traditional Coulomb counting methods.","The SoC predicted with the proposed model follows the measured SoC closely, deviating less than 5% overall.",This outcome confirms that the model maintains high accuracy across real-world test conditions.,Performance varies with battery chemistries and requires empirical tuning for accurate predictions.,The need for empirical tuning suggests that the model may not generalize well to all battery types without proper calibration.
7,Lithium-Ion Battery Modeling and State of Charge Prediction Based on Fractional-Order Calculus,"Xinfeng Zhang, Xiangjun Li, Kaikai Yang, Zhongyi Wang",Mathematics,2023,"The paper introduces a fractional-order impedance model (FOIM) to improve lithium-ion battery SOC estimation, integrating fractional-order calculus with an extended Kalman filter (FEKF) algorithm.",1. The FOIM improves SOC estimation accuracy compared to integer-order models. 2. The FEKF algorithm provides robust SOC predictions. 3. The model effectively captures battery dynamics and nonlinear characteristics.,1. The FOIM is developed using fractional-order elements to model battery behavior. 2. The FEKF algorithm is applied to estimate SOC by integrating fractional calculus into EKF. 3. The model is validated using experimental data from lithium-ion batteries.,"1. SOC prediction accuracy compared with traditional ECMs. 2. Computational efficiency and model robustness. 3. Validation against real-world battery test conditions (DST, FUDS).",1. Model accuracy depends on parameter selection. 2. Higher computational complexity than integer-order models. 3. Sensitivity to temperature variations and battery aging.,This study takes lithium batteries as the research object and proposes a fractional-order impedance model (FOIM) that characterizes the dynamic properties of the internal behavior of lithium-ion batteries.,"Table 1: Parameter identification results comparing FOIM, integer-order models, and Thevenin models.",The selected quote and table demonstrate how FOIM improves SOC estimation accuracy by better modeling internal battery behavior.,"Comparative analysis of simulation and experimental results shows that the accuracy of the FOIM, compared to ECMs, is significantly improved.",These findings confirm that the fractional-order modeling method enhances SOC estimation accuracy.,A fractional-order modeling approach for power batteries based on the Grunwald–Letnikov (G-L) fractional-order calculus definition is used.,Table 3: Experimental results showing improved SOC estimation using the FEKF algorithm.,The methodology ensures that FOIM and FEKF optimize SOC predictions by incorporating fractional-order dynamics.,"The SOC estimation RMSE of the FEKF algorithm was reduced by 0.0231 and 0.0115 under DST and FUDS test conditions, respectively.",Lower RMSE values confirm that the fractional-order model provides improved SOC accuracy.,Model performance is affected by parameter tuning and sensitivity to battery aging and temperature variations.,The need for precise parameter tuning highlights the challenge of applying fractional-order models in diverse conditions.
8,A Novel Fusion Approach Consisting of GAN and State-of-Charge Estimator for Synthetic Battery Operation Data Generation,"Kei Long Wong, Ka Seng Chou, Rita Tse, Su-Kit Tang, Giovanni Pau",Electronics,2023,The paper introduces a novel synthetic battery operation data generation method by combining a generative adversarial network (GAN) with a state-of-charge (SOC) estimator to produce high-quality synthetic data.,1. The fusion approach generates synthetic battery data similar to real-world datasets. 2. The SOC estimator enhances the realism of synthetic data. 3. The model outperforms traditional GAN-based approaches in producing realistic battery operation data.,"1. A GAN-based generation module is trained to generate voltage, current, and temperature data. 2. A long short-term memory (LSTM)-based SOC estimator is applied to compute SOC. 3. Model validation is performed using LG 18650HG2 battery data.",1. Accuracy of synthetic data compared to real data distributions. 2. Performance evaluation using PCA and t-SNE analysis. 3. Downstream task performance of SOC estimation using synthetic data.,1. Computationally expensive due to deep learning components. 2. Requires high-quality real-world data for effective training. 3. GAN-generated data may contain minor inconsistencies.,"This paper presents a novel fusion method for synthetic battery operation data generation, combining a generative adversarial network (GAN) with a state-of-charge estimator.",Table 1: Comparison of synthetic battery operation data generation techniques.,The selected quote and table illustrate how the proposed method integrates GAN and SOC estimation for improved synthetic data generation.,Qualitative and quantitative examinations are performed to compare the quality of the produced data to those of other time series GAN techniques.,These findings confirm that the fusion approach enhances the quality and realism of synthetic battery operation data.,"A GAN-based generation module generates current, voltage, and temperature values that mimic actual discharge operation.",Table 3: Experimental results comparing synthetic and real battery data distributions using PCA and t-SNE.,The methodology ensures that synthetic data generated by the GAN aligns closely with real battery operation patterns.,Our proposed method can generate synthetic battery operation data with distributions similar to the actual dataset and performs well in downstream tasks.,Performance evaluation using downstream SOC estimation tasks verifies the effectiveness of synthetic data.,GAN-generated data may still contain minor inconsistencies when compared to real-world datasets.,The need for high-quality real data highlights a key limitation in the GAN-based approach for battery data generation.
9,Combined CNN-LSTM Network for State-of-Charge Estimation of Lithium-Ion Batteries,"Xiangbao Song, Fangfang Yang, Dong Wang, Kwok-Leung Tsui",IEEE Access,2019,"The paper proposes a hybrid Convolutional Neural Network (CNN) and Long Short-Term Memory (LSTM) network for SOC estimation, leveraging CNN for feature extraction and LSTM for temporal dependency modeling.",1. The CNN-LSTM model captures both spatial and temporal battery data features. 2. The model outperforms standalone CNN and LSTM networks. 3. The network provides robust SOC estimation across varying initial conditions and temperatures.,"1. The CNN layer extracts spatial dependencies from battery voltage, current, and temperature. 2. The LSTM layer captures sequential relationships for SOC prediction. 3. The model is trained and validated using DST, FUDS, and US06 drive cycles.",1. SOC estimation accuracy compared to standalone CNN/LSTM models. 2. Performance under varying initial SOC conditions. 3. Robustness under different temperature settings.,1. Training requires a large dataset for accurate performance. 2. Computational cost is higher than traditional SOC estimation methods. 3. Performance can be affected by unseen battery degradation effects.,"In this paper, we propose a combined convolutional neural network (CNN) – long short-term memory (LSTM) network to infer battery SOC from measurable data, such as current, voltage, and temperature.","Table 1: RMSE and MAE comparison of CNN-LSTM, CNN, and LSTM networks under different initial SOC conditions.",The quote and table demonstrate how the hybrid CNN-LSTM model improves SOC estimation performance compared to standalone deep learning models.,The proposed network well captures the nonlinear relationships between SOC and measurable variables and presents better tracking performance than the LSTM and CNN networks.,These findings confirm that combining CNN and LSTM enhances prediction accuracy by leveraging spatial and temporal dependencies.,"The CNN is used to extract advanced spatial features in the original data, and the LSTM is used to model relationships between current SOC and historical inputs.",Table 3: Performance metrics of SOC estimation across different drive cycles.,"The methodology ensures the model effectively utilizes CNN for feature extraction and LSTM for sequential dependencies, improving SOC prediction.","In case of unknown initial SOCs, the proposed network fast converges to true SOC and then presents smooth and accurate results, with maximum mean average error under 1% and maximum root mean square error under 2%.",This demonstrates that the CNN-LSTM model is robust to initial SOC uncertainties and maintains high accuracy.,"Training requires large datasets and is computationally expensive, making real-time implementation challenging.","The high computational cost may limit deployment in resource-constrained environments, requiring further optimization."
10,State of Charge Prediction of Lead Acid Battery using Transformer Neural Network for Solar Smart Dome 4.0,"Iwan Agustono, Muhammad Asrol, Arief S. Budiman, Endang Djuana, Fergyanto E. Gunawan",International Journal of Emerging Technology and Advanced Engineering,2022,"The paper presents an SOC prediction model for lead-acid batteries using Transformer Neural Networks, comparing its performance with LSTM and GRU models in predicting SOC for a solar energy storage system.",1. Transformer model achieves faster training time but slightly lower accuracy than GRU and LSTM. 2. Voltage has the strongest correlation with SOC prediction for both battery types. 3. Temperature correlation with SOC is significant only for lead-acid batteries.,1. A Transformer Neural Network is trained on lithium-ion and lead-acid battery datasets. 2. Performance is compared with LSTM and GRU. 3. Training is conducted under limited data conditions using transfer learning.,"1. SOC estimation accuracy (MAE, RMSE, R²). 2. Training time comparison across models. 3. Performance evaluation under different battery types and environmental conditions.",1. Model accuracy depends on dataset quality and quantity. 2. Transformer model performs worse than GRU under small dataset conditions. 3. Generalization to real-world conditions requires further validation.,"Using Transformer Neural Network with comparison of Long-Short Term Memory (LSTM) and Gated Recurrent Unit (GRU), prediction model constructed utilizing two different datasets.","Table 3: Performance comparison of Transformer, LSTM, and GRU models in terms of MAE, RMSE, and training time.",The quote and table highlight the effectiveness of the Transformer model in SOC prediction but also indicate its performance trade-offs compared to LSTM and GRU.,"Best prediction result gained from GRU at 45 epochs with MAE 0.642%, RMSE 0.885 %, R² 99.88%.","These findings confirm that while the Transformer model is computationally efficient, GRU achieves better accuracy in SOC estimation.",Transformer neural network can utilize all input data simultaneously to gain deeper or more complete information compared to conventional neural network methods.,Table 4: Training time and accuracy comparison for different deep learning models.,The methodology ensures that the Transformer model leverages parallelism for efficiency but struggles with accuracy in limited data scenarios.,"Transformer Neural Network accuracy placed third after LSTM with MAE 1.175%, RMSE 1.634%, R² 99.69% but has faster training time at 7.13 seconds.",The lower MAE and RMSE for GRU and LSTM demonstrate their superior predictive accuracy over the Transformer model.,"Generalization capability of neural network in SOC prediction to produce great accuracy is proven in this study on GRU model with highest MAE of 1.19% given its challenge of limited data quantity, quality, and different battery type.",The reliance on large datasets for performance highlights a key limitation of the Transformer model in practical applications.
